author_id,name,country,birth_year
1,Olga Brooks,KR,1956
2,Ben Nakamura,MX,1979
3,Quincy Ferreira,DE,1979
4,Quincy Yamamoto,DE,1933
5,Luca Chen,IT,1984
6,Hiro Silva,AR,1943
7,Cyrus Quiroga,DE,1977
8,Hiro Ferreira,PL,1933
9,Fatima Espinoza,ES,1969
10,Carla Jensen,JP,1979
11,Alice Moreno,CL,1949
12,Arturo Petrov,IN,1961
13,Alice Silva,AU,1970
14,Noah Espinoza,BR,1957
15,Hiro Jensen,MX,1978
16,Carla Gupta,DE,1930
17,Noah Chen,DE,1945
18,Ben Brooks,CA,1965
19,Yusuf Chen,FR,1992
20,Elena Gupta,FR,1985
21,Quincy Hassan,AR,2000
22,Arturo Kowalski,AR,1997
23,Olga Hassan,ES,1946
24,Tara Silva,ES,1988
25,Yusuf Vargas,CL,1942
26,Fatima Rossi,PL,1973
27,Ines Ueda,,1989
28,Rosa Jensen,IT,1955
29,Pablo Espinoza,IN,1944
30,Ben Wagner,IN,1970
31,Ben Moreno,PL,1972
32,Tara Vargas,IT,1983
33,Zara Nakamura,DE,1995
34,Ines Silva,,1962
35,Uma Hassan,FR,1958
36,Olga Ueda,SE,1932
37,Eero Davidson,SE,1920
38,Wei Silva,BR,1966
39,Uma Moreno,FR,1986
40,Eero Yamamoto,FR,1986
41,Bianca Wagner,IT,1970
42,Sven Chen,IN,1975
43,Fatima Vargas,BR,1947
44,Zara Ivanov,BR,1965
45,Dania Larsen,NL,1930
46,Ines Jensen,IN,1986
47,Cyrus Tanaka,AR,1968
48,Bianca Nakamura,DE,1930
49,Pablo Okafor,BR,1985
50,Eero Rossi,MX,1921
51,Yusuf Tanaka,AU,1991
52,Wei Silva,US,1950
53,Noah Ivanov,FR,1961
54,Elena Brooks,FR,1927
55,Ben Rossi,US,1961
56,Cyrus Zhang,IN,1987
57,Luca Quiroga,CL,1941
58,Alice Ivanov,PL,1990
59,Tara Tanaka,JP,1941
60,Quincy Quiroga,KR,1982
61,Uma Chen,US,1996
62,Ines Wagner,NL,2000
63,Cyrus Larsen,NL,1941
64,Arturo Rossi,CA,1981
65,Jonas Ivanov,GB,1996
66,Uma Zhang,IN,1964
67,Uma Chen,IN,1929
68,Hiro Espinoza,FR,1979
69,Elena Vargas,GB,1961
70,Uma Jensen,KR,1972
71,Dania Moreno,GB,1933
72,Wei Rossi,GB,1967
73,Victor Xu,FR,1964
74,Quincy Jensen,MX,1966
75,Arturo Ivanov,GB,1944
76,Ines Jensen,US,1994
77,Jonas Rossi,NL,1984
78,Daniel Wagner,SE,1957
79,Alice Yamamoto,IT,1987
80,Zara Hassan,,1968
81,Uma Wagner,KR,1992
82,Cyrus Yamamoto,CA,1991
83,Greta Wagner,AR,1991
84,Daniel Petrov,,1933
85,Rosa Quiroga,SE,1943
86,Eero Kowalski,PL,1971
87,Daniel Xu,AU,1973
88,Yusuf Rossi,CL,1953
89,Hiro Jensen,CL,1930
90,Fatima Rossi,SE,1983
91,Ben Ferreira,CL,1991
92,Olga Yamamoto,JP,1933
93,Farid Kowalski,JP,1997
94,Ben Wagner,BR,1982
95,Eero Ivanov,ES,1929
96,Victor Alvarez,GB,1936
97,Alice Gupta,AR,1956
98,Elena Moreno,ES,1946
99,Maya Brooks,PL,1954
100,Yusuf Jensen,CA,1991
101,Maya Espinoza,DE,1967
102,Olga Vargas,FR,1995
103,Ines Ueda,US,1975
104,Elena Petrov,CA,1952
105,Uma Alvarez,BR,1985
106,Dania Chen,GB,1986
107,Arturo Yamamoto,CA,1996
108,Greta Zhang,MX,1920
109,Maya Petrov,FR,1978
110,Farid Zhang,SE,1922
111,Uma Alvarez,NL,1958
112,Wei Ueda,ES,1942
113,Elena Okafor,GB,1937
114,Maya Moreno,IN,1984
115,Rosa Hassan,IT,1924
116,Ines Nakamura,PL,1933
117,Zara Zhang,US,1954
118,Bianca Davidson,IN,1965
119,Bianca Wagner,CL,1956
120,Tara Alvarez,DE,1943
